post_title,post_name,ID,post_excerpt,post_content,post_status,menu_order,post_date,post_author,comment_status,sku,downloadable,virtual,stock,wholesale_price,markup_percentage,regular_price,discount_percentage,sale_price,weight,length,width,height,tax_class,visibility,stock_status,backorders,manage_stock,tax_status,upsell_ids,crosssell_ids,featured,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,tax:product_type,tax:product_cat,tax:product_tag,tax:product_shipping_class,tax:yith_product_brand
Bellamy's Organic Chicken Sweet Potato Cous Cous,bellamys-organic-chicken-sweet-potato-cous-cous,137,,,publish,0,8/13/2016 21:54:12,1,open,CWH68549,no,no,,1.89,20.00%,2.27,10.00%,2.04,0.12,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/CWH68549.jpg,,simple,Baby Products > Baby Food,,,Bellamy's Organic
Bellamy's Organic Follow On Formula,bellamys-organic-follow-on-formula,138,,,publish,0,8/13/2016 21:54:12,1,open,CWH68550,no,no,,27.99,20.00%,33.59,10.00%,30.23,1,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/CWH68550.jpg,,simple,Baby Products > Baby Formula,,,Bellamy's Organic
Bellamy's Organic Infant Formula,bellamys-organic-infant-formula,139,,,publish,0,8/13/2016 21:54:12,1,open,CWH68551,no,no,,27.99,20.00%,33.59,10.00%,30.23,1,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/CWH68551.jpg,,simple,Baby Products > Baby Formula,,,Bellamy's Organic
Bellamy's Organic Mango Blueberry & Apple,bellamys-organic-mango-blueberry-apple,140,,,publish,0,8/13/2016 21:54:12,1,open,CWH68552,no,no,,1.69,20.00%,2.03,10.00%,1.83,0.1,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/CWH68552.jpg,,simple,Baby Products > Baby Food,,,Bellamy's Organic
Bellamy's Organic Peach & Apple,bellamys-organic-peach-apple,141,,,publish,0,8/13/2016 21:54:12,1,open,CWH68553,no,no,,1.69,20.00%,2.03,10.00%,1.83,0.1,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/CWH68553.jpg,,simple,Baby Products > Baby Food,,,Bellamy's Organic
Bellamy's Organic Pumpkin & Tomato Risotto,bellamys-organic-pumpkin-tomato-risotto,142,,,publish,0,8/13/2016 21:54:12,1,open,CWH68554,no,no,,1.69,20.00%,2.03,10.00%,1.83,0.1,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/CWH68554.jpg,,simple,Baby Products > Baby Food,,,Bellamy's Organic
Bellamy's Organic Spring Vegetable Macaroni,bellamys-organic-spring-vegetable-macaroni,143,,,publish,0,8/13/2016 21:54:12,1,open,CWH68555,no,no,,1.89,20.00%,2.27,10.00%,2.04,0.12,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/CWH68555.jpg,,simple,Baby Products > Baby Food,,,Bellamy's Organic
Bellamy's Organic Toddler Drink,bellamys-organic-toddler-drink,144,,,publish,0,8/13/2016 21:54:12,1,open,CWH68556,no,no,,25.99,20.00%,31.19,10.00%,28.07,1,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/CWH68556.jpg,,simple,Baby Products > Baby Formula,,,Bellamy's Organic
Bellamy's Organic Milk Rusks Toothiepegs,bellamys-organic-milk-rusks-toothiepegs,145,,,publish,0,8/13/2016 21:54:12,1,open,CWH68557,no,no,,3.99,20.00%,4.79,10.00%,4.31,0.12,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/CWH68557.jpg,,simple,Baby Products > Baby Food,,,Bellamy's Organic
Bellamy's Organic Vegi Macaroni,bellamys-organic-vegi-macaroni,146,,,publish,0,8/13/2016 21:54:12,1,open,CWH68558,no,no,,4.39,20.00%,5.27,10.00%,4.74,0.2,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/CWH68558.jpg,,simple,Baby Products > Baby Food,,,Bellamy's Organic
